News_Source,Tweet,Date,Compound,Positive,Neutral,Negative,Tweets_Ago
BBC,"RT @BBCSport: Just look at it 😍

A new match ball will be used for the knockout stage of the #WorldCup, Fifa has announced. 

👉 https://t.c…",Wed Jun 27 11:40:21 +0000 2018,0.4588,0.091,0.0,0.909,36
BBC,Algeria's powerful police chief Gen Abdelghani Hamel sacked https://t.co/2KrFJOJoAp,Wed Jun 27 11:37:22 +0000 2018,0.4215,0.259,0.0,0.741,37
BBC,"RT @bbcstories: ⚡️ “The FBI said I was my parents' stolen baby - but I found the truth”

https://t.co/jWFvOfCDxM",Wed Jun 27 11:36:44 +0000 2018,-0.2732,0.0,0.123,0.877,38
BBC,Belize praised for 'visionary' steps to save coral reef https://t.co/0HS4Pr3fRQ,Wed Jun 27 11:04:46 +0000 2018,0.7506,0.444,0.0,0.556,39
BBC,RT @BBC_HaveYourSay: Has your name been mispronounced at an important event in your life? Tweet us your story or email: haveyoursay@bbc.co.…,Wed Jun 27 11:01:45 +0000 2018,0.2023,0.083,0.0,0.917,40
BBC,"The St George sculpture before... and after 🎨

Botched art restoration at Spanish church criticised… https://t.co/RxhIX7BRm8",Wed Jun 27 10:54:10 +0000 2018,0.0,0.0,0.0,1.0,41
BBC,"Malaysia 1MDB: Seized tiaras, cash and Hermes bags 'worth $273m' https://t.co/yVca9C025a",Wed Jun 27 09:40:39 +0000 2018,0.2263,0.16,0.0,0.84,42
BBC,Poland to scrap Holocaust law jail threat https://t.co/79CToMjp41,Wed Jun 27 09:38:01 +0000 2018,-0.5267,0.0,0.327,0.673,43
BBC,Alexandria Ocasio-Cortez: Millennial beats veteran Democrat https://t.co/yeesjNz1FG,Wed Jun 27 09:05:46 +0000 2018,0.0,0.0,0.0,1.0,44
BBC,"RT @BBCSteveR: On the day Trump’s national security advisor visits Moscow, one Russian paper calls John Bolton “chief hawk of the White Hou…",Wed Jun 27 08:45:25 +0000 2018,0.34,0.098,0.0,0.902,45
BBC,Myanmar military leaders 'guilty of crimes against humanity' https://t.co/HiVUCI8S4i,Wed Jun 27 08:29:41 +0000 2018,-0.4215,0.0,0.259,0.741,46
BBC,Irish Ferries cancels some Dublin to Holyhead sailings https://t.co/IaxJHyukRu,Wed Jun 27 08:07:57 +0000 2018,-0.2263,0.0,0.192,0.808,47
BBC,Can India become an AI hub for the developing world? https://t.co/0z6b0IylFQ,Wed Jun 27 07:51:40 +0000 2018,0.0,0.0,0.0,1.0,48
BBC,Rebel Wilson ordered to repay millions in defamation case https://t.co/lpCAfm2JUT,Wed Jun 27 07:40:55 +0000 2018,-0.1531,0.0,0.151,0.849,49
BBC,"RT @BBCSport: What's on the #WorldCup schedule for today?

Watch, read and listen with @BBCSport and @5LiveSport:

15:00 #MEX v #SWE 📺💻📻
15…",Wed Jun 27 07:07:20 +0000 2018,0.0,0.0,0.0,1.0,50
BBC,"RT @BBCSport: It's great news for Argentina in more ways than one...

Diego Maradona says he is ""fine"" after being seen by a doctor during…",Wed Jun 27 06:39:11 +0000 2018,0.6249,0.151,0.0,0.849,51
BBC,Thailand cave rescue: Troops race to reach youth football team https://t.co/aSuRqQrYDM,Wed Jun 27 05:02:00 +0000 2018,0.5267,0.328,0.0,0.672,52
BBC,Zimbabwe's Mnangagwa believes political faction tried to kill him https://t.co/lmQf5n99zj,Wed Jun 27 04:08:44 +0000 2018,-0.6908,0.0,0.343,0.657,53
BBC,Deadly explosion at Texas hospital leaves one dead https://t.co/6TnisIKaNr,Wed Jun 27 00:55:32 +0000 2018,-0.6486,0.0,0.35,0.65,54
BBC,Letter from Africa: Snapping at the heels of Zimbabwe's 'crocodile' https://t.co/YgNmOVyWpN,Tue Jun 26 23:48:22 +0000 2018,0.0,0.0,0.0,1.0,55
BBC,Ronald dela Rosa: 'The Rock' behind Duterte's drugs war https://t.co/yhuZQ1CfLs,Tue Jun 26 23:40:48 +0000 2018,-0.5994,0.0,0.302,0.698,56
BBC,Merkel's Bavarian ally threatens mutiny on migrants https://t.co/eAxkw9FUGp,Tue Jun 26 23:15:11 +0000 2018,-0.3818,0.0,0.271,0.729,57
BBC,RT @richard_conway: Reports emerging here in St Petersburg that Diego Maradona was taken to hospital after Argentina’s game tonight.,Tue Jun 26 21:42:46 +0000 2018,0.0,0.0,0.0,1.0,58
BBC,France: Butchers demand protection from vegans https://t.co/h0krY6YrBV,Tue Jun 26 20:12:16 +0000 2018,-0.128,0.0,0.2,0.8,59
BBC,Canada tycoon's son Blake Leibel jailed for 'savage' murder https://t.co/g8k1ingzK9,Tue Jun 26 20:09:38 +0000 2018,-0.836,0.0,0.497,0.503,60
BBC,"RT @BBCSport: Hector Cuper has left his role as Egypt manager after they were knocked out of the #WorldCup 

Full story: https://t.co/nwr8l…",Tue Jun 26 20:06:47 +0000 2018,0.0,0.0,0.0,1.0,61
BBC,NSA contractor Reality Winner admits leak https://t.co/uqiSN5PWqw,Tue Jun 26 20:06:46 +0000 2018,0.5574,0.484,0.194,0.323,62
BBC,"RT @BBCSport: FT #NGA 1-2 #ARG 

14' ⚽ Lionel Messi
51' ⚽ Victor Moses
86' ⚽ Marcos Rojo

An unlikely hero for Argentina, but it doesn't ma…",Tue Jun 26 19:53:51 +0000 2018,0.128,0.072,0.056,0.872,63
BBC,"RT @BBCSport: FT: #ISL 1-2 #CRO 

For the first time ever, Croatia have won three #WorldCup games in a row! 

Iceland bow out.

Reaction: h…",Tue Jun 26 19:53:16 +0000 2018,0.6114,0.148,0.0,0.852,64
BBC,"RT @BBCSport: GOAL! #NGA 1-2 #ARG

Marcos Rojo?! What a finish from the defender. Argentina are back in the driving seat!

Follow #NGAARG l…",Tue Jun 26 19:48:53 +0000 2018,0.3129,0.094,0.0,0.906,65
BBC,"RT @BBCSport: GOAL!

Looks like it'll be three out of three for Croatia!

Ivan Perisic drives a finish into the far corner.

#ISL 1-2 #CRO…",Tue Jun 26 19:48:49 +0000 2018,0.4738,0.118,0.0,0.882,66
BBC,Migrant family separations: States sue Trump administration https://t.co/flWhRvUMb3,Tue Jun 26 19:40:34 +0000 2018,0.0,0.0,0.0,1.0,67
BBC,"RT @BBCSport: GOAL!

Now then...

Gylfi Sigurdsson fires a penalty into the roof of the net!

#ISL 1-1 #CRO 

Live: https://t.co/aeMK9g0ELv…",Tue Jun 26 19:36:52 +0000 2018,-0.555,0.0,0.159,0.841,68
BBC,"RT @BBCSport: GOAL!

Straight after rattling the crossbar, Milan Badelj drives in the opener! 

#ISL 0-1 #CRO 

Live: https://t.co/aeMK9g0E…",Tue Jun 26 19:13:42 +0000 2018,0.3578,0.121,0.0,0.879,69
BBC,Indiana child fires handgun found in sofa at Ikea https://t.co/2WsnrEnVzS,Tue Jun 26 19:03:23 +0000 2018,0.0,0.0,0.0,1.0,70
BBC,"RT @BBCSport: HT: #ISL 0-0 #CRO 

Croatia will be relieved to head into the break with it goalless after a very, very strong finish to the…",Tue Jun 26 18:53:10 +0000 2018,0.7559,0.22,0.0,0.78,71
BBC,US college quarterback 'had brain disorder' before suicide https://t.co/SczLaFmFL0,Tue Jun 26 18:11:58 +0000 2018,-0.802,0.0,0.507,0.493,72
BBC,Abiy Ahmed becomes Ethiopia's prime minister https://t.co/jNoIEHoKGK,Tue Jun 26 17:38:53 +0000 2018,0.0,0.0,0.0,1.0,73
BBC,Noura Hussein: Appeals court overturns death sentence https://t.co/RDLgFoYi8J,Tue Jun 26 16:28:50 +0000 2018,-0.5574,0.116,0.348,0.536,74
BBC,"No BBC Sports News Correspondents were harmed in the making of this film 😀

Follow the build-up to #NGAARG… https://t.co/bTg01yQpQS",Tue Jun 26 16:02:33 +0000 2018,-0.4215,0.097,0.205,0.698,75
BBC,"RT @BBCSport: FT #AUS 0-2 #PER 

18' ⚽ Andre Carrillo
50' ⚽ Paolo Guerrero

Peru get their first win at the #WorldCup finals in 40 years. A…",Tue Jun 26 15:54:27 +0000 2018,0.5859,0.119,0.0,0.881,76
BBC,"RT @BBCSport: FT: #DEN 0-0 #FRA 

From start to finish, a very slow game - the first goalless draw of the #WorldCup 

Reaction: https://t.c…",Tue Jun 26 15:51:40 +0000 2018,0.0,0.0,0.0,1.0,77
BBC,Guernsey airline Waves cancels flights for two months https://t.co/J2GHDGepTK,Tue Jun 26 15:49:50 +0000 2018,-0.2263,0.0,0.192,0.808,78
BBC,"RT @BBCSport: The rags to riches story of the man who saved a Cristiano Ronaldo penalty.

Iran goalkeeper Alireza Beiranvand has come a lon…",Tue Jun 26 15:41:08 +0000 2018,0.4939,0.22,0.106,0.674,79
BBC,Teenager helps deaf and blind man to communicate on flight https://t.co/NK958WcHEj,Tue Jun 26 15:32:13 +0000 2018,-0.0258,0.182,0.189,0.629,80
BBC,Marree Man: The enduring mystery of a giant outback figure https://t.co/eHf0ujmQIu,Tue Jun 26 15:25:01 +0000 2018,0.0,0.0,0.0,1.0,81
BBC,Ottawa Bluesfest preparations obstructed by nesting bird https://t.co/8WXtcXOyXx,Tue Jun 26 15:19:53 +0000 2018,0.0,0.0,0.0,1.0,82
BBC,Ethiopia offers Eritrea chance to end Africa's longest war https://t.co/jkEGxPSfmW,Tue Jun 26 15:12:14 +0000 2018,-0.4404,0.144,0.281,0.576,83
BBC,New Zealand man shot after 'flying to US to attack teenager' https://t.co/7GhI4ljjBk,Tue Jun 26 15:03:43 +0000 2018,-0.4767,0.0,0.22,0.78,84
BBC,"It's a big day at the World Cup and we've already had a goal

#AUSPER #DENFRA

https://t.co/Ledbaj9Ie4 https://t.co/yhVpPIEfY0",Tue Jun 26 15:03:20 +0000 2018,0.0,0.0,0.0,1.0,85
BBC,"RT @BBCMonitoring: VAR! What is it good for? #WorldCup
https://t.co/bckchMpWxD",Tue Jun 26 14:55:35 +0000 2018,0.4926,0.262,0.0,0.738,86
BBC,Trump travel ban: What does this ruling mean? https://t.co/My2sno3EC9,Tue Jun 26 14:50:28 +0000 2018,-0.5574,0.0,0.31,0.69,87
BBC,"RT @BBCSport: HT #AUS 0-1 #PER 

18' ⚽ Andre Carrillo

A wonderful volley from the Peru winger is the difference at the halfway mark. Austr…",Tue Jun 26 14:47:23 +0000 2018,0.5719,0.134,0.0,0.866,88
BBC,Eritrea and Ethiopia open first high-level talks in 20 years https://t.co/tFjP29Yfxo,Tue Jun 26 14:41:59 +0000 2018,0.0,0.0,0.0,1.0,89
BBC,"DR Congo's Kasai crisis: War crimes committed by both sides, UN says https://t.co/pNp6LaLcS0",Tue Jun 26 14:34:20 +0000 2018,-0.7845,0.104,0.398,0.498,90
BBC,US Supreme Court upholds Trump's travel ban https://t.co/gdKK9xrp5i,Tue Jun 26 14:26:32 +0000 2018,0.0,0.273,0.273,0.455,91
BBC,"RT @BBCSport: GOAL! #AUS 0-1 #PER

What a strike! Andre Carrillo scores Peru's first goal at a #WorldCup in 36 years.

Follow #AUSPER live…",Tue Jun 26 14:24:13 +0000 2018,-0.2695,0.0,0.09,0.91,92
BBC,"""Most people don't talk about organ donations when they're alive, but thankfully Phil did talk about it.""  https://t.co/mkegh8J61p",Tue Jun 26 14:06:48 +0000 2018,0.6705,0.256,0.0,0.744,93
BBC,Syria war: Government forces make gains in south-west https://t.co/P3RenLLxyw,Tue Jun 26 12:30:54 +0000 2018,-0.3612,0.18,0.293,0.526,94
BBC,'Stolen babies' case: Spanish doctor Vela goes on trial https://t.co/8gFZXKRnWk,Tue Jun 26 11:58:14 +0000 2018,-0.4939,0.0,0.262,0.738,95
BBC,Jane Subachus: Family makes desperate appeal for stem cell donor https://t.co/mlG6ZklUOQ,Tue Jun 26 11:53:04 +0000 2018,-0.3182,0.0,0.187,0.813,96
BBC,PSNI's Drew Harris appointed Garda commissioner https://t.co/2nEbR5ygac,Tue Jun 26 11:31:09 +0000 2018,0.0,0.0,0.0,1.0,97
BBC,Police in South Korea have arrested one of the owners of a notorious revenge porn site https://t.co/pHGMJCrmAp,Tue Jun 26 11:22:13 +0000 2018,-0.8555,0.0,0.42,0.58,98
BBC,Japan unveils Hello Kitty-themed bullet train https://t.co/mzvzrMvnlE,Tue Jun 26 11:19:11 +0000 2018,0.0,0.0,0.0,1.0,99
BBC,"Soldiers in Myanmar have been accused of raping Rohingya women 

This is one woman's story https://t.co/J4GvJOlzah https://t.co/xREMCmcuEe",Tue Jun 26 11:16:27 +0000 2018,-0.7906,0.0,0.318,0.682,100
CBS,"At North Dakota stop, President Trump claims his rallies are the reason why NFL ratings are down: ""They find this m… https://t.co/D0SIEmWRxp",Thu Jun 28 00:32:41 +0000 2018,-0.296,0.0,0.095,0.905,1
CBS,Pittsburgh officer charged in shooting death of unarmed black teen https://t.co/JiGvVQw3sk https://t.co/nSdFZkyPz2,Thu Jun 28 00:19:32 +0000 2018,-0.6908,0.0,0.363,0.637,2
CBS,"LIVE: President Trump greets supporters at rally in Fargo, North Dakota https://t.co/ln7yjZwJKQ https://t.co/jz8YqjNBaG",Thu Jun 28 00:16:19 +0000 2018,0.5423,0.29,0.0,0.71,3
CBS,President Trump says he will pick retiring Supreme Court Justice Kennedy's replacement from a list the White House… https://t.co/m3fiLvMyYy,Thu Jun 28 00:01:59 +0000 2018,0.7906,0.304,0.0,0.696,4
CBS,Ten-term Democratic Congressman Joe Crowley was defeated in New York City by newcomer 28-year-old Alexandria Ocasio… https://t.co/UmcOboxwca,Wed Jun 27 23:43:21 +0000 2018,-0.4767,0.0,0.162,0.838,5
CBS,The U.S. was just ranked as one of the top 10 most dangerous countries for women for the first time ever:… https://t.co/0VgA8p9SSN,Wed Jun 27 23:40:15 +0000 2018,-0.3804,0.071,0.135,0.794,6
CBS,"Sen. Schumer says it would be the ""height of hypocrisy"" for the Senate to vote on a new Supreme Court justice befor… https://t.co/a1oYJ6MriW",Wed Jun 27 23:20:43 +0000 2018,0.7906,0.259,0.0,0.741,7
CBS,"FIRST LOOK: See Kristen Wiig as the villain Barbara Minerva, also known as Cheetah, in a scene from ""Wonder Woman 1… https://t.co/9ZKzGeNFlh",Wed Jun 27 23:19:32 +0000 2018,-0.5574,0.0,0.153,0.847,8
CBS,"It is no secret former President George H.W. Bush loves wearing distinctive socks. 

Where does he get them?… https://t.co/tXokiifVtp",Wed Jun 27 23:03:14 +0000 2018,0.3612,0.162,0.096,0.742,9
CBS,The fate of a dozen youth soccer players and their coach in Thailand has captivated people around the world. Millio… https://t.co/E6CDyc8XVo,Wed Jun 27 22:55:46 +0000 2018,0.3818,0.12,0.0,0.88,10
CBS,Pennsylvania authorities released video of the drive-by shooting shooting that led to the fatal police shooting of… https://t.co/dKgkGXGf96,Wed Jun 27 22:52:02 +0000 2018,-0.5423,0.0,0.171,0.829,11
CBS,"Near the Texas border, @DavidBegnaud rode along as officials busted a migrant smuggling stash house. https://t.co/5T60uzt6TA",Wed Jun 27 22:48:11 +0000 2018,-0.4767,0.0,0.181,0.819,12
CBS,".@Ocasio2018 beat veteran New York Congressman Joe Crowley in a Democratic primary. If elected in November, she wou… https://t.co/NMfI7QZz8u",Wed Jun 27 22:44:47 +0000 2018,0.0,0.0,0.0,1.0,13
CBS,"The president has his eyes set on a meeting with his Russian counter-part, Vladimir Putin. The date and location wi… https://t.co/jqw89dThaN",Wed Jun 27 22:40:04 +0000 2018,0.0,0.0,0.0,1.0,14
CBS,"Justice Anthony Kennedy said today he is retiring after three decades on the high court. Kennedy, who is 81 now, he… https://t.co/zLKlAplslO",Wed Jun 27 22:38:17 +0000 2018,0.5267,0.139,0.0,0.861,15
CBS,"""Permit Patty"" steps down as CEO of cannabis company after massive internet backlash resulted in her products being… https://t.co/nPTqV9CyIo",Wed Jun 27 22:19:31 +0000 2018,0.0,0.0,0.0,1.0,16
CBS,"Long considered a swing vote on the court, Justice Kennedy was often the deciding vote in cases that changed the co… https://t.co/nQajiKI5EN",Wed Jun 27 22:05:01 +0000 2018,0.5267,0.145,0.0,0.855,17
CBS,"""[Rep. Crowley] doesn't live there. And she turned that into a very compelling campaign message about the need for… https://t.co/NVMqwW3IF0",Wed Jun 27 21:50:26 +0000 2018,0.2944,0.109,0.0,0.891,18
CBS,"RT @CBSEveningNews: One famous customer helped put this entrepreneur on the map. @JimAxelrod introduces you to John Cronin, who with his da…",Wed Jun 27 21:44:47 +0000 2018,0.0,0.0,0.0,1.0,19
CBS,"Elwood on Justice Kennedy's legacy: ""I think his legacy is one of liberty –– being a champion for the liberty of Am… https://t.co/fk8YKHC0X7",Wed Jun 27 21:42:59 +0000 2018,0.9337,0.439,0.0,0.561,20
CBS,Lifeguards in Florida are warning beachgoers about sea lice — microscopic pests that cause nasty rashes underneath… https://t.co/Fu6UjaLIjN,Wed Jun 27 21:39:49 +0000 2018,-0.7184,0.0,0.286,0.714,21
CBS,"""[Democrats] want it out there and they want it part of the conversation that Republicans set up some rules and the… https://t.co/G0ZFBz4KSe",Wed Jun 27 21:32:03 +0000 2018,0.1531,0.115,0.0,0.885,22
CBS,WATCH: CBS News airs first unfiltered look inside a facility for immigrant children separated from their families.… https://t.co/Zmr0CJonCG,Wed Jun 27 21:25:35 +0000 2018,0.0,0.0,0.0,1.0,23
CBS,".@daveweigel on significance of President Trump nominating second Supreme Court justice: ""Well, it's -- it's someth… https://t.co/vtU8vtFtBQ",Wed Jun 27 21:22:41 +0000 2018,0.8442,0.394,0.0,0.606,24
CBS,"@CBSNews Elwood on Justice Kennedy: ""I think the last time I spoke with him was probably at our law clerk reunion.… https://t.co/4WD85JkxIC",Wed Jun 27 21:14:45 +0000 2018,0.5267,0.145,0.0,0.855,25
CBS,"John Elwood, former clerk for Justice Kennedy, on why he decided to retire: ""Well it's the right time for him. He's… https://t.co/lTcym2ZL56",Wed Jun 27 21:10:51 +0000 2018,0.6705,0.216,0.0,0.784,26
CBS,"Q: Do you expect this confirmation [for Justice Kennedy's replacement] to happen before the midterms? 

@JanCBS: Ye… https://t.co/RC0b5s8TsW",Wed Jun 27 21:08:11 +0000 2018,0.5267,0.167,0.0,0.833,27
CBS,Justice Kennedy's most pivotal swing votes and what his retirement means for the future of the Supreme Court on a s… https://t.co/uiSvfY3Q4E,Wed Jun 27 21:00:01 +0000 2018,0.7906,0.269,0.0,0.731,28
CBS,"A 12-year-old boy, who went viral for his Michael Jackson dance moves, received ""thrilling"" gift from a police offi… https://t.co/ExpV9ubLjb",Wed Jun 27 20:44:49 +0000 2018,0.4404,0.146,0.0,0.854,29
CBS,American farmers are killing themselves in staggering numbers and the reasons why are tragic https://t.co/dhR5kWs9oJ https://t.co/VK4KUVMiWa,Wed Jun 27 20:25:16 +0000 2018,-0.8126,0.0,0.346,0.654,30
CBS,"Justice Kennedy's departure will be a massive change for the high court, where he has been the crucial swing vote f… https://t.co/XsK7B9VAUH",Wed Jun 27 20:09:39 +0000 2018,0.5267,0.145,0.0,0.855,31
CBS,"Atlanta 6-year-old with lemonade stand raises $13,000 for separated migrant families https://t.co/Tj0u6SfVOF https://t.co/X0kItvafL2",Wed Jun 27 19:49:46 +0000 2018,0.0,0.0,0.0,1.0,32
CBS,"President Trump calls retiring Justice Kennedy a ""spectacular man,"" says search for his replacement will ""begin imm… https://t.co/CWgdkQ103O",Wed Jun 27 19:45:38 +0000 2018,0.5267,0.175,0.0,0.825,33
CBS,"Justice Anthony Kennedy, a key swing vote on the Supreme Court, has announced his retirement, handing President Tru… https://t.co/r7CoKExGYm",Wed Jun 27 19:30:12 +0000 2018,0.7906,0.304,0.0,0.696,34
CBS,"""We will vote to confirm Justice Kennedy's successor this fall,"" Sen. Mitch McConnell says https://t.co/2qLebqsuKo https://t.co/Y1I1tQ1WXp",Wed Jun 27 19:23:26 +0000 2018,0.6486,0.275,0.0,0.725,35
CBS,NASA shares awe-inspiring photo of blue sand dune on Mars 👽https://t.co/i4cE5O7ZNc https://t.co/UZE89pWe2i,Wed Jun 27 19:10:01 +0000 2018,0.296,0.167,0.0,0.833,36
CBS,“That was a shocker for Crowley to lose that election… I can’t say I was disappointed because I was never a big fan… https://t.co/nnMwOqNDXx,Wed Jun 27 18:59:11 +0000 2018,-0.7506,0.0,0.316,0.684,37
CBS,"""I have a suggestion, if you're going to meet Mr. Putin,"" the president of Portugal tells @POTUS. ""Don't forget [to… https://t.co/1tzExEZM9X",Wed Jun 27 18:54:29 +0000 2018,0.1695,0.081,0.0,0.919,38
CBS,"""We believe families should be together,"" @POTUS says. ""But what we really do believe is in very strong borders, no… https://t.co/BX87JSMbLr",Wed Jun 27 18:49:35 +0000 2018,0.7086,0.196,0.0,0.804,39
CBS,"""John Bolton is over there [in Russia] right now... he's met with President Putin. I haven't gotten the full report… https://t.co/ZNyF50p7ud",Wed Jun 27 18:47:19 +0000 2018,0.0,0.0,0.0,1.0,40
CBS,"""I think [Russia is] doing a fantastic job with the World Cup right now... My son loves soccer and he loves watchin… https://t.co/c9kAsDG5pg",Wed Jun 27 18:43:55 +0000 2018,0.9001,0.367,0.0,0.633,41
CBS,"""He is a man who has displayed great vision, tremendous vision and tremendous heart. And he will be missed,"" @POTUS… https://t.co/DH0NzTcEhA",Wed Jun 27 18:41:43 +0000 2018,0.7964,0.323,0.0,0.677,42
CBS,"""Our search for a new Justice will begin immediately,"" @POTUS says after Justice Kennedy announces his plan to reti… https://t.co/XdSlxRz4R1",Wed Jun 27 18:29:35 +0000 2018,0.7783,0.286,0.0,0.714,43
